"Code","Severity","Description","User Severity","rpt msg","solution"
"ATR-012","Warning","NAME
       ATR-012 (warning) Attribute '%s' is already defined in class '%s'

DESCRIPTION
       While  defining  a  new user attribute, you specified an attribute name
       that is already defined.  There is no mechanism to change an  attribute
       definition.

WHAT NEXT
       Make  use  of  the  existing  attribute or use another name for the new
       attribute.","","Warning: Attribute 'sqs_step' is already defined in class 'lib_cell' (ATR-012) (MSG-3032)",""
"ATTR-12","Info","NAME
       ATTR-12  (information)  The  design  specific attribute override for %s
       '%s' is set in the current block '%s', because the actual library  set-
       ting may not be overwritten.

DESCRIPTION
       This  command  set  the  design specific attribute value in the current
       block, instead of the actual value in the library, because library set-
       tings may not be overwritten.

       Within  the  block,  the  design specific attribute value overrides the
       library value, and will be persistently stored in the block when saved.
       This  attribute value is returned by the get_attribute command, and may
       be be removed by the remove_attributes command.","","Information: The design specific attribute override for lib_cell 'saed32rvt_c:NBUFFX8_RVT.timing' is set in the current block 'bit_coin', because the actual library setting may not be overwritten. (ATTR-12) (MSG-3032)",""
"CCD-103","Info","NAME
       CCD-103 (Info) Useful skew copied/scaled %d balance points and %d clock
       latencies.

DESCRIPTION
       CCD will copy and scale CCD generated balance points and  latencies  to
       new  clocks and scenarios which are not presented in earlier CCD calls.
       This will make sure useful skew information is consistent across clocks
       and scenarios.","","Information: Useful skew copied/scaled 0 balance points and 0 clock latencies. (CCD-103) (MSG-3032)",""
"CLE-10","Info","NAME
       CLE-10  (information)  Term  was not able to be set up using %s . Using
       ""xterm"" by default instead.

DESCRIPTION
       This warning message occurs in certain OS when the term cannot  be  set
       up under its default term name.","","Information: Term was not able to be set up using xterm-256color . Using ""xterm"" by default instead. (CLE-10) (MSG-3032)",""
"CMD-030","Warning","NAME
       CMD-030 (warning) File '%s' was not found in search path.

DESCRIPTION
       The 'which' command evaluated an filename argument and the file was not
       found.

WHAT NEXT
       No adverse effect on the result of the  command,  but  check  spelling,
       etc.","","Warning: File 'config_setup.tcl' was not found in search path. (CMD-030) (MSG-3032)",""
"CTS-012","Warning","NAME
       CTS-012  (Warning)  Nets  in  the  clock network have a dont_touch con-
       straint

DESCRIPTION
       Nets in the clock network have been marked with a dont_touch attribute.
       dont_touch  on  a net prevents sizing, optimization, and replacement of
       all attached cells.  It also prevents buffering on the net.  dont_touch
       can  limit  CTS  optimization,  which can cause worse latency, skew, or
       area in the clock network.

WHAT NEXT
       Examine the reported nets to ensure that the dont_touch attributes have
       been  applied  with  good  reason.   In particular, dont_touch on high-
       fanout or other large nets can cause latency  problems  after  CTS,  as
       that  large  net  will  not  be buffered.  dont_touch attributes can be
       removed   with   the   set_dont_touch,    set_dont_touch_network,    or
       mark_clock_tree  commands.  set_dont_touch is normally used for setting
       and  clearing  dont_touch  on  individual  nets  or   cell   instances.
       set_dont_touch_network  is used to apply dont_touch to an entire fanout
       from a clock or pin.  Note that set_dont_touch_network will  not  trace
       from  a master clock through to a generated clock.  mark_clock_tree can
       be used also to apply or clear dont_touch.  Unlike  set_dont_touch_net-
       work, mark_clock_tree will trace through generated clocks.

SEE ALSO
       set_dont_touch(2)
       set_dont_touch_network(2)
       mark_clock_tree(2)","","Warning: Nets in the clock network have a dont_touch constraint (CTS-012) (MSG-3032)",""
"CTS-037","Info","NAME
       CTS-037  (info) CTS QoR %s: GlobalSkew = %s; ID = %s;%s%s NetsWithDRC =
       %d; %s; ClockBufCount = %d; ClockBufArea  =  %s;  ClockCellArea  =  %s;
       ClockWireLen = %s; Clock = %s; Mode = %s; Corner = %s; ClockRoot = %s.

DESCRIPTION
       Clock Qor information.

WHAT NEXT","","Information: CTS QoR Post Initial DRC Fixing: GlobalSkew = 0.3021; ID = 0.3728; NetsWithDRC = 3; Worst Tran/Cap cost = 0.0000/1.6427; ClockBufCount = 3165; ClockBufArea = 14067.3789; ClockCellArea = 24987.4375; ClockWireLen = 745200.8510; Clock = lclk; Mode = FUNC_085_HOLD; Corner = FUNC_0.85V_HOLD; ClockRoot = lclk. (CTS-037) (MSG-3032)",""
"CTS-055","Warning","NAME
       CTS-055  (Warning)  The  net  '%s' will not be buffered because it is a
       dont_touch net.

DESCRIPTION
       This net is a dont_touch net, so it will not be buffered.

WHAT NEXT","","Warning: The net 'lclk' will not be buffered because it is a dont_touch net. (CTS-055) (MSG-3032)",""
"CTS-076","Warning","NAME
       CTS-076  (Warning) The restriction reason at a hier pin. This may cause
       qor problems.

DESCRIPTION
       Buffer tree has restrictions applied to it. Check the restriction  rea-
       son  of.CTS-076. The possible reasons could be dc_generic, pd_boundary,
       physical_block,  freeze_port,  non_inverted_pin,  exclusive_move_bound,
       target_library_subset  , mv_special and etc.  dc_generic:            dc
       generic.  pd_boundary:           this  pin  (conn  or  port)  is  power
       domain  boundary port.  physical_block:        this hier corresponds to
       a physical  block.   freeze_port:            this  is  a  freeze  port.
       non_inverted_pin:       this  is  to  prevent boundary phase inversion.
       exclusive_move_bound:  the pin is in an  exclusive  move  bound.   tar-
       get_library_subset:  The  hier pin has 2 sides. The hiers of both sides
       have different target library subsets
                              constraining     all     paths.      mv_special:
       the net associated with the hier pin is power switch control, isolation
       control or
                              retention control.

WHAT NEXT
       Check the result to see if it is what you expect.

SEE ALSO
       check_clock_trees(2)
       CTS-080(n)","","Warning: The restriction reason at a hier pin. This may cause qor problems. (CTS-076) (MSG-3032)",""
"CTS-080","Warning","NAME
       CTS-080 (Warning) Exception '%s' is applied %d times %s.

DESCRIPTION
       Buffer tree has restrictions applied to it. The type of the restriction
       is reported, as well as number of the occurences  of  that  restriction
       for this clock tree net.

WHAT NEXT","","Warning: Exception 'pd_boundary' is applied 2 times . (CTS-080) (MSG-3032)",""
"CTS-101","Info","NAME
       CTS-101 (Information) %s will work on the following scenarios.

DESCRIPTION
       Lists the scenarios that command will work on.

WHAT NEXT","","Information: CTS will work on the following scenarios. (CTS-101) (MSG-3032)",""
"CTS-103","Info","NAME
       CTS-103  (Information) '%s' is identified as primary corner for initial
       clock tree building.

DESCRIPTION
       The synthesize_clock_trees command will pick a primary  corner  in  the
       initial  clock  tree  building stage. By default the worst delay corner
       will be selected as primary corner.

WHAT NEXT","","Information: 'FUNC_0.78V_SETUP' is identified as primary corner for initial clock tree building. (CTS-103) (MSG-3032)",""
"CTS-104","Info","NAME
       CTS-104 (Information) The run time for %s is %s, cpu time is %s.

DESCRIPTION
       Prints the run time information for a step.

WHAT NEXT","","Information: The run time for Multi-objective Clock Optimization is 0 hr : 0 min : 42.68 sec, cpu time is 0 hr : 3 min : 5.91 sec. (CTS-104) (MSG-3032)",""
"CTS-105","Info","NAME
       CTS-105 (Information) All clock objects will be converted from ideal to
       propagated clock during CTS.

DESCRIPTION
       CTS will change the clocks in active scenarios to be propagated.

SEE ALSO
       set_propagated_clock (2)","","Information: All clock objects will be converted from ideal to propagated clock during CTS. (CTS-105) (MSG-3032)",""
"CTS-106","Info","NAME
       CTS-106 (Information) Relocated the clock cell '%s' from %s to %s.

DESCRIPTION
       This clock cell is relocated by CTS to improve the clock latency.","","Information: Relocated the clock cell 'bit_secure_0_slice_15_sipo_bit/clock_gate_rd_addr_reg' from (745.86, 1579.88) to (754.06, 1583.22). (CTS-106) (MSG-3032)",""
"CTS-107","Info","NAME
       CTS-107  (Information)  %s will work on all clocks in active scenarios,
       including %d master clocks and %d generated clocks.

DESCRIPTION
       Print the number of clocks for command to work on.

WHAT NEXT","","Information: CTS will work on all clocks in active scenarios, including 6 master clocks and 0 generated clocks. (CTS-107) (MSG-3032)",""
"CTS-141","Info","NAME
       CTS-141  (Information)  Latency Bottleneck Path for clock '%s' and skew
       group '%s' in mode '%s' for clock root '%s':

DESCRIPTION
       Reports the latency critical path for every clock  and  skew  group  in
       each mode for the primary corner.

WHAT NEXT
SEE ALSO
       report_clock_qor","","Information: Latency Bottleneck Path for clock 'lclk' and skew group 'default' in mode 'FUNC_085_HOLD' for clock root 'lclk': (CTS-141) (MSG-3032)",""
"CTS-903","Warning","NAME
       CTS-903  (Warning)  Cells  instantiated in the clock network are not in
       the clock reference list

DESCRIPTION
       CTS can only size to lib_cells that are specified in the  clock  refer-
       ence   list,   constrained  using  'set_lib_cell_purpose  -include  cts
       $lib_cell_list'.  This message indicates that some  cells  instantiated
       in the clock network have reference lib_cells that are not in the clock
       reference list.  If there are logically  equivalent  lib_cells  in  the
       reference list, then these instances can still be resized to those log-
       ically equivalent lib_cells, if necessary.  There is no guarantee  that
       the  cell  will be resized, and once resized it cannot be sized back to
       the original lib_cell that was not in the reference list.

       If there are no logically equivalent cells in the reference list,  then
       this  cell  will not be resized by CTS, and a CTS-904 message will also
       be issued by check_clock_trees, indicating that no logically equivalent
       cells are available.

WHAT NEXT
       No  action  is  necessary  if the behavior described above is okay.  If
       resizing of the cell  is  desired,  ensure  that  logically  equivalent
       lib_cells  are  available  using the 'set_lib_cell_purpose -include cts
       $lib_cell_list' command.  Note that there is no guarantee that the cell
       will  be  resized,  and  so it may remain in the clock network with its
       original reference cell which was not supplied in the  clock  reference
       list.  If you want to guarantee that this reference cell does not exist
       in the clock network after CTS completes, then you must manually  asso-
       ciate it to a new lib_cell using the change_link command before running
       CTS.

SEE ALSO
       set_lib_cell_purpose(2)
       change_link(2)","","Warning: Cells instantiated in the clock network are not in the clock reference list (CTS-903) (MSG-3032)",""
