Code,Severity,Description,User Severity,rpt msg,solution
ATR-012,Warning,"NAME
       ATR-012 (warning) Attribute '%s' is already defined in class '%s'

DESCRIPTION
       While  defining  a  new user attribute, you specified an attribute name
       that is already defined.  There is no mechanism to change an  attribute
       definition.

WHAT NEXT
       Make  use  of  the  existing  attribute or use another name for the new
       attribute.",[fill severity],Warning: Attribute 'sqs_step' is already defined in class 'lib_cell' (ATR-012) (MSG-3032),[fill solution]
CMD-030,Warning,"NAME
       CMD-030 (warning) File '%s' was not found in search path.

DESCRIPTION
       The 'which' command evaluated an filename argument and the file was not
       found.

WHAT NEXT
       No adverse effect on the result of the  command,  but  check  spelling,
       etc.",[fill severity],Warning: File 'config_setup.tcl' was not found in search path. (CMD-030) (MSG-3032),[fill solution]
CTS-012,Warning,"NAME
       CTS-012  (Warning)  Nets  in  the  clock network have a dont_touch con-
       straint

DESCRIPTION
       Nets in the clock network have been marked with a dont_touch attribute.
       dont_touch  on  a net prevents sizing, optimization, and replacement of
       all attached cells.  It also prevents buffering on the net.  dont_touch
       can  limit  CTS  optimization,  which can cause worse latency, skew, or
       area in the clock network.

WHAT NEXT
       Examine the reported nets to ensure that the dont_touch attributes have
       been  applied  with  good  reason.   In particular, dont_touch on high-
       fanout or other large nets can cause latency  problems  after  CTS,  as
       that  large  net  will  not  be buffered.  dont_touch attributes can be
       removed   with   the   set_dont_touch,    set_dont_touch_network,    or
       mark_clock_tree  commands.  set_dont_touch is normally used for setting
       and  clearing  dont_touch  on  individual  nets  or   cell   instances.
       set_dont_touch_network  is used to apply dont_touch to an entire fanout
       from a clock or pin.  Note that set_dont_touch_network will  not  trace
       from  a master clock through to a generated clock.  mark_clock_tree can
       be used also to apply or clear dont_touch.  Unlike  set_dont_touch_net-
       work, mark_clock_tree will trace through generated clocks.

SEE ALSO
       set_dont_touch(2)
       set_dont_touch_network(2)
       mark_clock_tree(2)",[fill severity],Warning: Nets in the clock network have a dont_touch constraint (CTS-012) (MSG-3032),[fill solution]
CTS-055,Warning,"NAME
       CTS-055  (Warning)  The  net  '%s' will not be buffered because it is a
       dont_touch net.

DESCRIPTION
       This net is a dont_touch net, so it will not be buffered.

WHAT NEXT",[fill severity],Warning: The net 'lclk' will not be buffered because it is a dont_touch net. (CTS-055) (MSG-3032),[fill solution]
CTS-076,Warning,"NAME
       CTS-076  (Warning) The restriction reason at a hier pin. This may cause
       qor problems.

DESCRIPTION
       Buffer tree has restrictions applied to it. Check the restriction  rea-
       son  of.CTS-076. The possible reasons could be dc_generic, pd_boundary,
       physical_block,  freeze_port,  non_inverted_pin,  exclusive_move_bound,
       target_library_subset  , mv_special and etc.  dc_generic:            dc
       generic.  pd_boundary:           this  pin  (conn  or  port)  is  power
       domain  boundary port.  physical_block:        this hier corresponds to
       a physical  block.   freeze_port:            this  is  a  freeze  port.
       non_inverted_pin:       this  is  to  prevent boundary phase inversion.
       exclusive_move_bound:  the pin is in an  exclusive  move  bound.   tar-
       get_library_subset:  The  hier pin has 2 sides. The hiers of both sides
       have different target library subsets
                              constraining     all     paths.      mv_special:
       the net associated with the hier pin is power switch control, isolation
       control or
                              retention control.

WHAT NEXT
       Check the result to see if it is what you expect.

SEE ALSO
       check_clock_trees(2)
       CTS-080(n)",[fill severity],Warning: The restriction reason at a hier pin. This may cause qor problems. (CTS-076) (MSG-3032),[fill solution]
CTS-080,Warning,"NAME
       CTS-080 (Warning) Exception '%s' is applied %d times %s.

DESCRIPTION
       Buffer tree has restrictions applied to it. The type of the restriction
       is reported, as well as number of the occurences  of  that  restriction
       for this clock tree net.

WHAT NEXT",[fill severity],Warning: Exception 'pd_boundary' is applied 2 times . (CTS-080) (MSG-3032),[fill solution]
CTS-903,Warning,"NAME
       CTS-903  (Warning)  Cells  instantiated in the clock network are not in
       the clock reference list

DESCRIPTION
       CTS can only size to lib_cells that are specified in the  clock  refer-
       ence   list,   constrained  using  'set_lib_cell_purpose  -include  cts
       $lib_cell_list'.  This message indicates that some  cells  instantiated
       in the clock network have reference lib_cells that are not in the clock
       reference list.  If there are logically  equivalent  lib_cells  in  the
       reference list, then these instances can still be resized to those log-
       ically equivalent lib_cells, if necessary.  There is no guarantee  that
       the  cell  will be resized, and once resized it cannot be sized back to
       the original lib_cell that was not in the reference list.

       If there are no logically equivalent cells in the reference list,  then
       this  cell  will not be resized by CTS, and a CTS-904 message will also
       be issued by check_clock_trees, indicating that no logically equivalent
       cells are available.

WHAT NEXT
       No  action  is  necessary  if the behavior described above is okay.  If
       resizing of the cell  is  desired,  ensure  that  logically  equivalent
       lib_cells  are  available  using the 'set_lib_cell_purpose -include cts
       $lib_cell_list' command.  Note that there is no guarantee that the cell
       will  be  resized,  and  so it may remain in the clock network with its
       original reference cell which was not supplied in the  clock  reference
       list.  If you want to guarantee that this reference cell does not exist
       in the clock network after CTS completes, then you must manually  asso-
       ciate it to a new lib_cell using the change_link command before running
       CTS.

SEE ALSO
       set_lib_cell_purpose(2)
       change_link(2)",[fill severity],Warning: Cells instantiated in the clock network are not in the clock reference list (CTS-903) (MSG-3032),[fill solution]
CTS-904,Warning,"NAME
       CTS-904 (Warning) Some clock reference cells have no LEQ cell specified
       for resizing

DESCRIPTION
       CTS cannot resize a cell in the clock network unless  there  are  logi-
       cally equivalent lib_cells specified in the clock reference list.  This
       message indicates that there are cells instantiated in the  clock  net-
       work that have no logically equivalent lib_cells in the reference list,
       so no sizing can be done.

WHAT NEXT
       If the cell does not need to be sized, or has optimization  constraints
       like dont_touch that prevent sizing, then no action is necessary.  Oth-
       erwise, use 'set_lib_cell_purpose -include cts  $lib_cell_list',  where
       $lib_cell_list  includes  logically  equivalent  lib_cells  to the ones
       reported by this check.  This will ensure that the cell can be  resized
       during CTS.

SEE ALSO
       set_lib_cell_purpose(2)",[fill severity],Warning: Some clock reference cells have no LEQ cell specified for resizing (CTS-904) (MSG-3032),[fill solution]
CTS-956,Warning,"NAME
       CTS-956  (warning) Please use -largest / -smallest / -all switches with
       -show_verbose_paths / -show_paths to report the clock paths.

DESCRIPTION
       -largest / -smallest /  -all  switches  have  to  add  with  -show_ver-
       bose_paths / -show_paths to report the clock paths.

WHAT NEXT
       Add -largest / -smallest / -all switches to report the clock paths.",[fill severity],Warning: Please use -largest / -smallest / -all switches with -show_verbose_paths / -show_paths to report the clock paths. (CTS-956) (MSG-3032),[fill solution]
FRAM-054,Warning,"NAME
       FRAM-054  (warning)  Technology  used  to create frame-view and current
       technology have inconsistency: %s.

DESCRIPTION
       The reported part of the technology are inconsistent between the refer-
       ence library and the design library.

WHAT NEXT
       Update the library with consistent technology and try again.

SEE ALSO
       create_lib(2)
       open_lib(2)
       read_tech_file(2)",[fill severity],Warning: Technology used to create frame-view and current technology have inconsistency: Fat table contents are different. (FRAM-054) (MSG-3032),[fill solution]
