Code,Severity,Description,User Severity,rpt msg,solution
ATR-012,Warning,"NAME
       ATR-012 (warning) Attribute '%s' is already defined in class '%s'

DESCRIPTION
       While  defining  a  new user attribute, you specified an attribute name
       that is already defined.  There is no mechanism to change an  attribute
       definition.

WHAT NEXT
       Make  use  of  the  existing  attribute or use another name for the new
       attribute.",[fill severity],Warning: Attribute 'sqs_step' is already defined in class 'lib_cell' (ATR-012) (MSG-3032),[fill solution]
CMD-030,Warning,"NAME
       CMD-030 (warning) File '%s' was not found in search path.

DESCRIPTION
       The 'which' command evaluated an filename argument and the file was not
       found.

WHAT NEXT
       No adverse effect on the result of the  command,  but  check  spelling,
       etc.",[fill severity],Warning: File 'config_setup.tcl' was not found in search path. (CMD-030) (MSG-3032),[fill solution]
CTS-956,Warning,"NAME
       CTS-956  (warning) Please use -largest / -smallest / -all switches with
       -show_verbose_paths / -show_paths to report the clock paths.

DESCRIPTION
       -largest / -smallest /  -all  switches  have  to  add  with  -show_ver-
       bose_paths / -show_paths to report the clock paths.

WHAT NEXT
       Add -largest / -smallest / -all switches to report the clock paths.",[fill severity],Warning: Please use -largest / -smallest / -all switches with -show_verbose_paths / -show_paths to report the clock paths. (CTS-956) (MSG-3032),[fill solution]
EMS-040,Warning,"NAME
       EMS-040 (Warning) EMS database ""%s"" already exists, over-writing it.

DESCRIPTION
       The  command executed creates an EMS database even if one exists by the
       same name(over-writes the existing EMS database).

WHAT NEXT
       Use ""-ems_database"" to provide a new EMS database name if  you  do  not
       want to overwrite the existing EMS database.

SEE ALSO
       check_design",[fill severity],"Warning: EMS database ""check_design.pre_route_stage.ems"" already exists, over-writing it. (EMS-040) (MSG-3032)",[fill solution]
FLW-2892,Warning,,[fill severity],"Warning: Restoring scoped app option 'opt.internal.levfilter_arec_slack' to original value 'unset' (from current value '-1', which is different from the scoped value '-1.0'). (FLW-2892) (MSG-3032)",[fill solution]
FRAM-054,Warning,"NAME
       FRAM-054  (warning)  Technology  used  to create frame-view and current
       technology have inconsistency: %s.

DESCRIPTION
       The reported part of the technology are inconsistent between the refer-
       ence library and the design library.

WHAT NEXT
       Update the library with consistent technology and try again.

SEE ALSO
       create_lib(2)
       open_lib(2)
       read_tech_file(2)",[fill severity],Warning: Technology used to create frame-view and current technology have inconsistency: Fat table contents are different. (FRAM-054) (MSG-3032),[fill solution]
MV-074,Warning,"NAME
       MV-074  (warning) The power switch cell '%s' is not associated with any
       power switch strategies.

DESCRIPTION
       This message is printed when the specified power  switch  cell  is  not
       associated with any power switch strategies.

       The  tool cannot associate power switch cells with power switch strate-
       gies if there are any discrepancies between them. In such a case,  sup-
       ply  net  connections of the power switch cells cannot be automatically
       derived by the tool. While it is sufficient to continue the implementa-
       tion  flow if supply net connections are explicitly specified, the tool
       will not be able to check and ensure that the power  switch  cells  are
       properly  inserted  and  consistent  with  the  power switch strategies
       intended for the cells.

WHAT NEXT
       Check the related power switch strategy  and  the  association  of  the
       power switch cell.

SEE ALSO
       associate_mv_cells(2)
       report_power_domains(2)
       report_cell(2)",[fill severity],Warning: The power switch cell 'piso_secure_0/headerfooter_snps_PD_PISO_SECURE__SW_PISO_SECURE_snps_HEAD2X16_HVT_R887_C0_28' is not associated with any power switch strategies. (MV-074) (MSG-3032),[fill solution]
NDM-102,Warning,"NAME
       NDM-102  (warning)  Technology  '%s'  used  for  frame-view creation in
       library '%s', is inconsistent  with  the  current  technology  '%s'  of
       library  '%s'.  Please  run derive_design_level_via_regions to generate
       up-do-date via region in the design library.

DESCRIPTION
       The technology of the reference library is inconsistent with technology
       of  the  design library. Need to run derive_design_level_via_regions to
       generate up-do-date via region in the design library.

WHAT NEXT
       Update the library with consistent technology and  try  again.  Or  run
       derive_design_level_via_regions  to  generate  up-do-date via region in
       the design library.

SEE ALSO
       create_lib(2)
       open_lib(2)
       read_tech_file(2)
       derive_design_level_via_regions(2)",[fill severity],"Warning: Technology 'saed32nm_1p9m_mw.tf' used for frame-view creation in library 'sram2rw16x4_tt1p_v125c', is inconsistent with the current technology 'saed32nm_1p9m_mw.tf' of library 'bit_coin.nlib'. Please run derive_design_level_via_regions to generate up-do-date via region in the design library. (NDM-102) (MSG-3032)",[fill solution]
NDMUI-669,Warning,"NAME
       NDMUI-669  (warning)  All  user-defined  attributes  are  persistent by
       default from 2018.06 release. Please use the '-non_persistent' if  non-
       persistent user attribute is preferred.

DESCRIPTION
       Earlier  user-defined  attributes  were non-persistent by default, user
       had to specify -persistent option to make them  persistent.   But  from
       2018.06 release, all user-defined attributes are persistent by default.

WHAT NEXT
       New  option  '-non_persistent'  has been added in next 2018.06 release.
       The user script should be modified if user-defined attribute has to  be
       non-persistent only.",[fill severity],Warning: All user-defined attributes are persistent by default from 2018.06 release. Please use the '-non_persistent' if non-persistent user attribute is preferred. (NDMUI-669) (MSG-3032),[fill solution]
NEX-020,Warning,"NAME
       NEX-020  (warning)   Net '%s' is exceeding threshold (over %d pins) and
       will be skipped.

DESCRIPTION
       This net has a very large number of pins so it will not  be  extracted.
       This  net was probably not meant to be detail routed.  There will be no
       parasitics and no back-annotated delay computed for this  net.   Timing
       analysis  will  use  the wire load model with the high fanout threshold
       assumptions.  The current default for the max number of pins  is  1000.
       You can use the option extract.high_fanout_threshold to adjust it.

WHAT NEXT
       Buffer this net and detail route it to be able to extract it.

SEE ALSO
       reg_extract_design(2)",[fill severity],Net '%s' is exceeding threshold (over %d pins) and will be skipped. (MSG-3032),[fill solution]
OPT-069,Warning,"NAME
       OPT-069 (warning) Skipping pin %s. Reason - %s.

DESCRIPTION
       Tie-cell insertion is skipped for a pin due to specified reason.

WHAT NEXT
       User can check whether the reason mentioned is reasonable.

       ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~",[fill severity],Warning: Skipping pin bit_secure_1_slice_12_nibble_1/VDD. Reason - Power/Ground pin. (OPT-069) (MSG-3032),[fill solution]
OPT-202,Warning,"NAME
       OPT-202 (warning) No legal tie cell is available to drive '%s' pin.

DESCRIPTION
       There  is  no  tie  cell  in the library that is available for constant
       (1'b0 / 1'b1) fixing, given the constraints for the reported pin.  This
       could  be because of target library subset selection, power constraints
       etc.

WHAT NEXT
       Check and update power constraints or targer library subset constraints
       or provide the library with additional cells.",[fill severity],Warning: No legal tie cell is available to drive 'piso_secure_0/headerfooter_snps_PD_PISO_SECURE__SW_PISO_SECURE_snps_HEAD2X16_HVT_R3_C0_4/SLEEP' pin. (OPT-202) (MSG-3032),[fill solution]
