"Code","Severity","Description","User Severity","rpt msg","solution"
"SQM-1046","Warning","NAME
       SQM-1046  (warning) Sequential element '%s' of module '%s' is mapped to
       library cell '%s' or its equivalents, which don't  have  nextstate:data
       defined  on  input  port.  This  may  result  in synchronous input nets
       swapped.

DESCRIPTION
       This warning message is issued when instance is  mapped  to  a  libcell
       where  there  is  no  nextstate_type attribute defined on its ports. In
       this case, functional input pairs like D/SET, D/CLEAR  can  be  swapped
       during net connection as they are logically equivalent. Tool can't tell
       which port is the ""true"" data port.

WHAT NEXT
       User can ignore this warning if they don't care about  pin  connection.
       Otherwise  choose  another  libcell  which  is  properly  defined  with
       nextstate_type.  For example: get_attribute [get_lib_pins   -of_objects
       [get_lib_cells   */DFPCRQX1HXP ] ] nextstate_type ~","","Warning: Sequential element 'bit_secure_1/slice_0/hreset_syn... (MSG-3032)",""
"SQM-1040","Warning","NAME
       SQM-1040 (warning) No cell bus will be mapped to multibit because there
       is no multibit cells in the cell libraries.

DESCRIPTION
       This warning message is issued when bus instance is to  be  mapped  but
       library doesn't have multibit cells.

WHAT NEXT
       Check library to provide multibit cells for bus mapping.  ~","","No cell bus will be mapped to multibit because there is no m... (MSG-3032)",""
"POW-034","Warning","NAME
       POW-034  (warning)  No  valid  clocks available in design '%s'. Setting
       clock frequency to %s GHz.

DESCRIPTION
       The design does not have any valid clocks.  The  simulation  resolution
       needed  to determine random vector generation during switching activity
       propagation is based on the fastest clock.

WHAT NEXT
       Ensure there are valid clocks defined for the mode.

SEE ALSO
       set_switching_activity (2)
       get_switching_activity (2)","","Warning: No valid clocks available in design 'bit_coin'. Set... (MSG-3032)",""
"FLW-3502","Warning","","","Warning: The app option 'compile.flow.high_effort_timing' wi... (MSG-3032)",""
"SQM-1046","Warning","NAME
       SQM-1046  (warning) Sequential element '%s' of module '%s' is mapped to
       library cell '%s' or its equivalents, which don't  have  nextstate:data
       defined  on  input  port.  This  may  result  in synchronous input nets
       swapped.

DESCRIPTION
       This warning message is issued when instance is  mapped  to  a  libcell
       where  there  is  no  nextstate_type attribute defined on its ports. In
       this case, functional input pairs like D/SET, D/CLEAR  can  be  swapped
       during net connection as they are logically equivalent. Tool can't tell
       which port is the ""true"" data port.

WHAT NEXT
       User can ignore this warning if they don't care about  pin  connection.
       Otherwise  choose  another  libcell  which  is  properly  defined  with
       nextstate_type.  For example: get_attribute [get_lib_pins   -of_objects
       [get_lib_cells   */DFPCRQX1HXP ] ] nextstate_type ~","","Warning: Sequential element 'bit_secure_1/slice_0/hreset_syn... (MSG-3032)",""
"SQM-1040","Warning","NAME
       SQM-1040 (warning) No cell bus will be mapped to multibit because there
       is no multibit cells in the cell libraries.

DESCRIPTION
       This warning message is issued when bus instance is to  be  mapped  but
       library doesn't have multibit cells.

WHAT NEXT
       Check library to provide multibit cells for bus mapping.  ~","","No cell bus will be mapped to multibit because there is no m... (MSG-3032)",""
"POW-034","Warning","NAME
       POW-034  (warning)  No  valid  clocks available in design '%s'. Setting
       clock frequency to %s GHz.

DESCRIPTION
       The design does not have any valid clocks.  The  simulation  resolution
       needed  to determine random vector generation during switching activity
       propagation is based on the fastest clock.

WHAT NEXT
       Ensure there are valid clocks defined for the mode.

SEE ALSO
       set_switching_activity (2)
       get_switching_activity (2)","","Warning: No valid clocks available in design 'bit_coin'. Set... (MSG-3032)",""
"POW-116","Warning","NAME
       POW-116  (warning)  Net  '%s'  is already connected to pin '%s'. It may
       cause loss of switching activity.

DESCRIPTION
       This message occurs when net is already connected to a pin and  another
       driver  pin  is  trying  to connect with this net. It may cause loss of
       switching activity.

WHAT NEXT
       Check if there exist multiple drivers for this net. Else this situation
       may  occur  temporarily  due  to  connect  before disconnecting the old
       driver.","","Warning: Net 'hash_it/N15' is already connected to pin 'ctmi... (MSG-3032)",""
"FLW-3502","Warning","","","Warning: The app option 'compile.flow.high_effort_timing' wi... (MSG-3032)",""
"POW-116","Warning","NAME
       POW-116  (warning)  Net  '%s'  is already connected to pin '%s'. It may
       cause loss of switching activity.

DESCRIPTION
       This message occurs when net is already connected to a pin and  another
       driver  pin  is  trying  to connect with this net. It may cause loss of
       switching activity.

WHAT NEXT
       Check if there exist multiple drivers for this net. Else this situation
       may  occur  temporarily  due  to  connect  before disconnecting the old
       driver.","","Warning: Net 'hash_it/N15' is already connected to pin 'ctmi... (MSG-3032)",""
"FLW-3502","Warning","","","Warning: The app option 'compile.flow.high_effort_timing' wi... (MSG-3032)",""
"PDC-003","Warning","NAME
       PDC-003 (Warning) Routing direction of metal layer %s is neither ""hori-
       zontal"" nor ""vertical"".  PDC checks  will  not  be  performed  on  this
       layer.

DESCRIPTION
       This  warning  message indicates that no routing direction has been set
       on the metal layer.  This may result in DRC violations due  to  illegal
       placement.

WHAT NEXT
       set_attribute  [get_layer <layer>] routing_direction <horizontal/verti-
       cal>","","Warning: Routing direction of metal layer PO is neither ""hor... (MSG-3032)",""
