"Code","Severity","Description","User Severity","rpt msg","solution"
"ATTR-12","Info","NAME
       ATTR-12  (information)  The  design  specific attribute override for %s
       '%s' is set in the current block '%s', because the actual library  set-
       ting may not be overwritten.

DESCRIPTION
       This  command  set  the  design specific attribute value in the current
       block, instead of the actual value in the library, because library set-
       tings may not be overwritten.

       Within  the  block,  the  design specific attribute value overrides the
       library value, and will be persistently stored in the block when saved.
       This  attribute value is returned by the get_attribute command, and may
       be be removed by the remove_attributes command.","","Information: The design specific attribute override for lib_cell 'saed32rvt_c:NBUFFX8_RVT.timing' is set in the current block 'bit_coin', because the actual library setting may not be overwritten. (ATTR-12) (MSG-3032)",""
"CLE-10","Info","NAME
       CLE-10  (information)  Term  was not able to be set up using %s . Using
       ""xterm"" by default instead.

DESCRIPTION
       This warning message occurs in certain OS when the term cannot  be  set
       up under its default term name.","","Information: Term was not able to be set up using xterm-256color . Using ""xterm"" by default instead. (CLE-10) (MSG-3032)",""
"CMD-030","Warning","NAME
       CMD-030 (warning) File '%s' was not found in search path.

DESCRIPTION
       The 'which' command evaluated an filename argument and the file was not
       found.

WHAT NEXT
       No adverse effect on the result of the  command,  but  check  spelling,
       etc.","","Warning: File 'dft_ports.tcl' was not found in search path. (CMD-030) (MSG-3032)",""
"DCHK-042","Info","NAME
       DCHK-042  (information)  Use  the  related options for more information
       about warnings.

DESCRIPTION
       This message indicates that a terse version of  informational  messages
       or warnings on a design has just been displayed.

WHAT NEXT
       Use  the  corresponding  options  to  obtain more information about the
       design.","","Information: Use the related options for more information about warnings. (DCHK-042) (MSG-3032)",""
"DEFR-016","Info","NAME
       DEFR-016 (information) Reading %s.

DESCRIPTION
       The specified DEF construct is being read.

       When  read_def  is  complete, a summary shows the actual number of pro-
       cessed objects out of the total number of  read  constructs.  Processed
       objects  are those that are annotated or verified with the DEF informa-
       tion.

WHAT NEXT","","Information: Reading 'PINS' section. (DEFR-016) (MSG-3032)",""
"DEFR-065","Warning","NAME
       DEFR-065 (warning) Cannot find %s '%s'.

DESCRIPTION
       The specified object cannot be found in the database.

WHAT NEXT
       Check that the specified object exists in the design, if it is a design
       object. Or check that the specified object exists in the library, if it
       is a library or technology object.","","Warning: Cannot find net 'lv_scan_out'. (DEFR-065) (MSG-3032)",""
"DES-028","Info","NAME
       DES-028 (information) Saving '%s' to '%s'.

DESCRIPTION
       The block is being saved to the named destination on disk.

WHAT NEXT
       Showing  the  block and library name to help understand when a block is
       being saved.","","Information: Saving 'bit_coin.nlib:bit_coin.design' to 'bit_coin.nlib:bit_coin/init_design.design'. (DES-028) (MSG-3032)",""
"DFT-011","Info","NAME
       DFT-011 (information) NO SCANCHAIN defined in SCANDEF.

DESCRIPTION
       optimize_dft  does  nothinig  or  check_scan_chain cannot perform since
       there is no scan chain defined in the design.

WHAT NEXT
       use read_def to read in the SCANDEF with SCANCHAIN info","","NO SCANCHAIN defined in SCANDEF. (MSG-3032)",""
"DWS-0216","Info","NAME
       DWS-0216 (information) Added key list '%s' to design '%s'.

DESCRIPTION
       Indicates that the listed set of licenses have been associated with the
       specified design. Accessing the design will require  that  one  of  the
       listed licenses can be successfully checked out.

WHAT NEXT
       No action is required since this is just an information message.","","Information: Added key list 'DesignWare' to design 'bit_coin'. (DWS-0216) (MSG-3032)",""
"ELAB-193","Info","NAME
       ELAB-193 (information) Elaborating HDL template %s:%s %s.

DESCRIPTION
       This informational message issues when a new elaboration of an HDL tem-
       plate commences indirectly via the link step of another command  (typi-
       cally  an  elaborate or link of some parent design).  The message indi-
       cates the logical library and template  names  of  the  new  module  or
       entity  and  gives  other details of the circumstances that require the
       subsequent elaboration effort.

WHAT NEXT
       This is only an information message. Next comes any log output produced
       by  the  elaboration work described.  Consider the details given in the
       ELAB-193 message as an audit trail of the flow leading to any  upcoming
       messages.

SEE ALSO
       elaborate(2)
       link(2)","","Information: Elaborating HDL template WORK:SRAM2RW16x4_1bit instantiated from 'SRAM2RW16x4'. (ELAB-193) (MSG-3032)",""
"ELAB-965","Info","NAME
       ELAB-965 (information) %s Module %s report end.

DESCRIPTION
       This  information  message  displays  a  summary of ports and registers
       information for the named module.

       The information message (ELAB-965) is generated during the elaborate if
       hdlin.logfile_format  if  disabled.  An example of the message is shown
       below:

         Presto compilation completed successfully. (my_module_N1)
         Module: my_module_N1, Ports: 25, Input: 14, Output: 11, Inout: 0
         Module: my_module_N1, Registers: 16, Async set/reset: 16, Sync set/reset: 0
         Information: Module report end. (ELAB-965)

WHAT NEXT
       This is an information-only message.  No action is required.

SEE ALSO
       elaborate(2)
       hdlin.logfile_format(3)","","Information:  Module SRAM2RW16x4_1bit report end. (ELAB-965) (MSG-3032)",""
"EMS-040","Warning","NAME
       EMS-040 (Warning) EMS database ""%s"" already exists, over-writing it.

DESCRIPTION
       The  command executed creates an EMS database even if one exists by the
       same name(over-writes the existing EMS database).

WHAT NEXT
       Use ""-ems_database"" to provide a new EMS database name if  you  do  not
       want to overwrite the existing EMS database.

SEE ALSO
       check_design","","Warning: EMS database ""check_design.pre_placement_stage.ems"" already exists, over-writing it. (EMS-040) (MSG-3032)",""
