Code,Severity,Description,User Severity,rpt msg,solution
CMD-030,Warning,"NAME
       CMD-030 (warning) File '%s' was not found in search path.

DESCRIPTION
       The 'which' command evaluated an filename argument and the file was not
       found.

WHAT NEXT
       No adverse effect on the result of the  command,  but  check  spelling,
       etc.",[fill severity],Warning: File 'dft_ports.tcl' was not found in search path. (CMD-030) (MSG-3032),[fill solution]
DEFR-065,Warning,"NAME
       DEFR-065 (warning) Cannot find %s '%s'.

DESCRIPTION
       The specified object cannot be found in the database.

WHAT NEXT
       Check that the specified object exists in the design, if it is a design
       object. Or check that the specified object exists in the library, if it
       is a library or technology object.",[fill severity],Warning: Cannot find net 'lv_scan_out'. (DEFR-065) (MSG-3032),[fill solution]
EMS-040,Warning,"NAME
       EMS-040 (Warning) EMS database ""%s"" already exists, over-writing it.

DESCRIPTION
       The  command executed creates an EMS database even if one exists by the
       same name(over-writes the existing EMS database).

WHAT NEXT
       Use ""-ems_database"" to provide a new EMS database name if  you  do  not
       want to overwrite the existing EMS database.

SEE ALSO
       check_design",[fill severity],"Warning: EMS database ""check_design.pre_placement_stage.ems"" already exists, over-writing it. (EMS-040) (MSG-3032)",[fill solution]
FRAM-054,Warning,"NAME
       FRAM-054  (warning)  Technology  used  to create frame-view and current
       technology have inconsistency: %s.

DESCRIPTION
       The reported part of the technology are inconsistent between the refer-
       ence library and the design library.

WHAT NEXT
       Update the library with consistent technology and try again.

SEE ALSO
       create_lib(2)
       open_lib(2)
       read_tech_file(2)",[fill severity],Warning: Technology used to create frame-view and current technology have inconsistency: Fat table contents are different. (FRAM-054) (MSG-3032),[fill solution]
LGL-031,Warning,"NAME
       LGL-031  (warning) Site master ""%s"" has neither X-Symmetry nor Y-Symme-
       try. The ""legal orientations"" for the standard cells will be limited.

DESCRIPTION
       This message is indicating that the legalization has detected that  the
       above  site master has neither X-Symmetry nor Y-Symmetry.  For a normal
       design, usually, the site master may have either  ""X-Symmetry""  or  ""Y-
       Symmetry"".

       If a site master does not have either of ""X-Symmetry"" and ""Y-Symmetry"",
       the standard cells will have limited  legal  orientations  because  the
       standard cells will not be allowed to flip within the site rows.

WHAT NEXT
       Please  double-check  the  design and library setting and make sure the
       setting is correct.",[fill severity],"Warning: Site master ""unit"" has neither X-Symmetry nor Y-Symmetry. The ""legal orientations"" for the standard cells will be limited. (LGL-031) (MSG-3032)",[fill solution]
MV-012,Warning,"NAME
       MV-012  (warning)  %s '%s' (supply net '%s' [%s]) cannot drive load pin
       '%s' (supply net '%s' [%s]) due to voltage difference.

DESCRIPTION
       This message occurs when the voltage difference of  driver  supply  net
       and load supply net is larger than the voltage threshold. This can hap-
       pen when the driver supply net and the load supply net  have  different
       voltage  values in power state table or the port states definitions are
       incomplete.

WHAT NEXT
       o Check the voltage values of the two supply nets.

       o Also, consider to change the voltage threshold if the voltage differ-
       ence is within acceptable tolerance.

       o  Check analyze_mv_design -level_shifter to report issues that prevent
       Level Shifter insertion.

       o Check analyze_mv_feasibility to know why Enabled Level Shifter  cells
       cannot be use for insertion.

       o Please check Level Shifter supply availability in Power Domains where
       cell is expected to be inserted.

       o Check if there is a dont_touch present on the net requiring  a  Level
       Shifter.

       o  To  debug Enabled Level Shifter issues, check report_mv_path for any
       Isolation or Level Shifter strategy that may apply on the path.

SEE ALSO
       analyze_mv_design(2)
       analyze_mv_feasibility(2)
       report_mv_cells(2)
       report_mv_lib_cells(2)
       report_mv_path(2)
       report_net(2)
       report_pst(2)
       report_supply_nets(2)
       set_level_shifter(2)",[fill severity],Warning: Driver pin 'secure_data_in[12]' (supply net 'VDDH' [0.85V]) cannot drive load pin 'piso_secure_0/C66/DATA1[12]' (supply net 'piso_sw_out' [0.78V]) due to voltage difference. (MV-012) (MSG-3032),[fill solution]
MV-013,Warning,"NAME
       MV-013  (warning)  %s  '%s' [supply net '%s', power state '%s'] is less
       always-on than the load pin '%s' [supply net '%s', power state '%s'].

DESCRIPTION
       This message occurs when the supply net of the specified driver pin  or
       PG  net  is  less always-on than the related supply net of the load pin
       and an Isolation Cell is missing. An Isolation Cell is required to iso-
       late  the  signal  path  if  the driver of the net is less always-on or
       unrelated to the load pin.

WHAT NEXT
       o Check the power states of the supply nets with report_pst.

       o  Use report_mv_path to report any Isolation strategy that  may  apply
       on the path.

       o   Check  analyze_mv_feasibility  for Isolation Cell and Enabled Level
       Shifter cell mapping related issues.

       o Check report_mv_lib_cells for availability of  a  suitable  Isolation
       Cells.

       o  Run report_mv_path -net -isolation to check if there is any strategy
       applied but not implemented.  If there is no strategy  applied,  please
       add necessary Isolation strategy.

SEE ALSO
       report_net(2)
       report_pst(2)
       report_mv_path(2)
       analyze_mv_feasibility(2)
       report_mv_lib_cells(2)",[fill severity],"Warning: Driver pin 'bit_secure_11/piso_slice_first/dout_reg/Q' [supply net 'piso_sw_out', power state 'SSL_PISO_SECURE_OFF'] is less always-on than the load pin 'secure_data_out[22]' [supply net 'VDDH', power state 'SS_ON']. (MV-013) (MSG-3032)",[fill solution]
MV-027,Warning,"NAME
       MV-027 (warning) The tie-off connection '%s' has not been implemented.

DESCRIPTION
       This message occurs when 1'b1 or 1'b0 has not been implemented as a tie
       cell or PG net.  Constant  nets  that  are  floating  or  connected  to
       unmapped pins only are excluded.

WHAT NEXT
       Ensure  that related supply net of constant pins can be determined. Use
       connect_pg_net to connect tie-off pins in either  automatic  or  manual
       mode.

SEE ALSO
       report_net(2)
       connect_pg_net(2)",[fill severity],Warning: The tie-off connection 'bit_secure_0/slice_19/*Logic0*' has not been implemented. (MV-027) (MSG-3032),[fill solution]
MV-051,Warning,"NAME
       MV-051  (warning)  '%s'  is  already connected to net '%s'. It might be
       disconnected.

DESCRIPTION
       This message is printed when a port or pin specified for sleep  or  ack
       out is already connected to a net. In this case, the tool might discon-
       nect the original net and reconnect the port or the pin to the new net.

WHAT NEXT
       Typically this message occurs in relation to ack ports which  are  usu-
       ally  hierarchical.  When  connecting these ack ports/nets they can get
       disconnected or reused in some cases. Please check the  connections  of
       the specified port or pin in this case.

SEE ALSO
       connect_power_switch(2)",[fill severity],Warning: 'power_ack_signals[19]' is already connected to net 'power_ack_signals[19]'. It might be disconnected. (MV-051) (MSG-3032),[fill solution]
MV-103,Warning,"NAME
       MV-103  (warning)  The  sequential  element '%s' belonging to retention
       strategy '%s' in power domain '%s' is not mapped to a retention library
       cell.

DESCRIPTION
       This  warning  message  indicates  that  the  sequential element is not
       mapped to retention library cells despite being  part  of  a  retention
       strategy.  This results in verification/simulation failure.

       Sequential element can be a mapped/unmapped register, ETM or hard-macro
       with sequential timing arcs.

WHAT NEXT
       Check the retention strategy commands for the correctness  and/or  make
       sure  the  library  has required retention cells and run the command to
       map the netlist.  If the reported sequential element is an ETM or hard-
       macro  and  you didn't intend replace it with retention equivalent, you
       can ignore this message for such elements.

SEE ALSO
       set_retention(2)
       set_retention_control(2)
       map_retention_cell(2)
       check_mv_design(2)",[fill severity],Warning: The sequential element 'piso_secure_1/temp_reg[14]' belonging to retention strategy 'RET_PISO_SECURE' in power domain 'PD_PISO_SECURE' is not mapped to a retention library cell. (MV-103) (MSG-3032),[fill solution]
