Code,Severity,Description,User Severity,rpt msg,solution
CMD-013,Error,"NAME
       CMD-013 (error) %s Use error_info for more info.

DESCRIPTION
       A  script  or complex command failed and there is a stack trace for the
       failure.  The trace points out the source files  and  loops  where  the
       error occurred.  The error_info command is used to display this stack.

WHAT NEXT
       Fix the error indicated by error_info.",[fill severity],Error: 0\n	Use error_info for more info. (CMD-013) (MSG-3032),[fill solution]
CMD-030,Warning,"NAME
       CMD-030 (warning) File '%s' was not found in search path.

DESCRIPTION
       The 'which' command evaluated an filename argument and the file was not
       found.

WHAT NEXT
       No adverse effect on the result of the  command,  but  check  spelling,
       etc.",[fill severity],Warning: File 'config_setup.tcl' was not found in search path. (CMD-030) (MSG-3032),[fill solution]
CTS-956,Warning,"NAME
       CTS-956  (warning) Please use -largest / -smallest / -all switches with
       -show_verbose_paths / -show_paths to report the clock paths.

DESCRIPTION
       -largest / -smallest /  -all  switches  have  to  add  with  -show_ver-
       bose_paths / -show_paths to report the clock paths.

WHAT NEXT
       Add -largest / -smallest / -all switches to report the clock paths.",[fill severity],Warning: Please use -largest / -smallest / -all switches with -show_verbose_paths / -show_paths to report the clock paths. (CTS-956) (MSG-3032),[fill solution]
EOPT-011,Error,"NAME
       EOPT-011 (Error) : '%d' errors encountered.

DESCRIPTION
       This  message  indicates  that errors are encountered during changelist
       implentation.

WHAT NEXT
       User can examine the changelist output txt file for more details.

SEE ALSO
       eco_opt (2).  check_pt_qor (2).",[fill severity],Error: '48' errors encountered. (EOPT-011) (MSG-3032),[fill solution]
FRAM-054,Warning,"NAME
       FRAM-054  (warning)  Technology  used  to create frame-view and current
       technology have inconsistency: %s.

DESCRIPTION
       The reported part of the technology are inconsistent between the refer-
       ence library and the design library.

WHAT NEXT
       Update the library with consistent technology and try again.

SEE ALSO
       create_lib(2)
       open_lib(2)
       read_tech_file(2)",[fill severity],Warning: Technology used to create frame-view and current technology have inconsistency: Fat table contents are different. (FRAM-054) (MSG-3032),[fill solution]
LEFW-005,Warning,"NAME
       LEFW-005  (warning)  Block  '%s'  has no %s view with empty label, will
       ignore it.

DESCRIPTION
       The reported block has no frame view  with  empty  label.  It  will  be
       ignored.

WHAT NEXT
       Please  create  frame  view for the specifid block and try again. Or if
       non empty label need to be written out, please use  -design  option  to
       specify the label to be written.",[fill severity],"Warning: Block 'bit_coin' has no frame view with empty label, will ignore it. (LEFW-005) (MSG-3032)",[fill solution]
LEFW-007,Warning,"NAME
       LEFW-007  (warning)  Use  %s  %s  as the WRONGDIRECTION width for layer
       '%s'.

DESCRIPTION
       Usually, if preferred routing direction  is  horizontal,  xDefaultWidth
       will  be  written out as the WRONGDIRECTION width; if preferred routing
       direction is  vertical,  yDefaultWidth  will  be  written  out  as  the
       WRONGDIRECTION  width.   This  warning  message indicates that the pre-
       ferred routing direction not exist, or is not horizontal  or  vertical,
       or  corresponding  xDefaultWidth/yDefaultWidth not exist. In that case,
       the tool will write out  the  specified  width  as  the  WRONGDIRECTION
       width.

WHAT NEXT
       Please  verify  whether  the reported width is truly the WRONGDIRECTION
       width for the specified layer.",[fill severity],Warning: Use defaultWidth 2 as the WRONGDIRECTION width for layer 'MRDL'. (LEFW-007) (MSG-3032),[fill solution]
MV-013,Warning,"NAME
       MV-013  (warning)  %s  '%s' [supply net '%s', power state '%s'] is less
       always-on than the load pin '%s' [supply net '%s', power state '%s'].

DESCRIPTION
       This message occurs when the supply net of the specified driver pin  or
       PG  net  is  less always-on than the related supply net of the load pin
       and an Isolation Cell is missing. An Isolation Cell is required to iso-
       late  the  signal  path  if  the driver of the net is less always-on or
       unrelated to the load pin.

WHAT NEXT
       o Check the power states of the supply nets with report_pst.

       o  Use report_mv_path to report any Isolation strategy that  may  apply
       on the path.

       o   Check  analyze_mv_feasibility  for Isolation Cell and Enabled Level
       Shifter cell mapping related issues.

       o Check report_mv_lib_cells for availability of  a  suitable  Isolation
       Cells.

       o  Run report_mv_path -net -isolation to check if there is any strategy
       applied but not implemented.  If there is no strategy  applied,  please
       add necessary Isolation strategy.

SEE ALSO
       report_net(2)
       report_pst(2)
       report_mv_path(2)
       analyze_mv_feasibility(2)
       report_mv_lib_cells(2)",[fill severity],"Warning: Driver pin 'piso_secure_0/route_opt__1_PTECO_DRC_BUF6585/Y' [supply net 'piso_sw_out', power state 'SSL_PISO_SECURE_OFF'] is less always-on than the load pin 'piso_secure_0/headerfooter_snps_PD_PISO_SECURE__SW_PISO_SECURE_snps_HEAD2X16_HVT_R293_C46_1482/SLEEP' [supply net 'VDDL', power state 'SSL_ON']. (MV-013) (MSG-3032)",[fill solution]
MV-074,Warning,"NAME
       MV-074  (warning) The power switch cell '%s' is not associated with any
       power switch strategies.

DESCRIPTION
       This message is printed when the specified power  switch  cell  is  not
       associated with any power switch strategies.

       The  tool cannot associate power switch cells with power switch strate-
       gies if there are any discrepancies between them. In such a case,  sup-
       ply  net  connections of the power switch cells cannot be automatically
       derived by the tool. While it is sufficient to continue the implementa-
       tion  flow if supply net connections are explicitly specified, the tool
       will not be able to check and ensure that the power  switch  cells  are
       properly  inserted  and  consistent  with  the  power switch strategies
       intended for the cells.

WHAT NEXT
       Check the related power switch strategy  and  the  association  of  the
       power switch cell.

SEE ALSO
       associate_mv_cells(2)
       report_power_domains(2)
       report_cell(2)",[fill severity],Warning: The power switch cell 'piso_secure_0/headerfooter_snps_PD_PISO_SECURE__SW_PISO_SECURE_snps_HEAD2X16_HVT_R887_C0_28' is not associated with any power switch strategies. (MV-074) (MSG-3032),[fill solution]
NDM-102,Warning,"NAME
       NDM-102  (warning)  Technology  '%s'  used  for  frame-view creation in
       library '%s', is inconsistent  with  the  current  technology  '%s'  of
       library  '%s'.  Please  run derive_design_level_via_regions to generate
       up-do-date via region in the design library.

DESCRIPTION
       The technology of the reference library is inconsistent with technology
       of  the  design library. Need to run derive_design_level_via_regions to
       generate up-do-date via region in the design library.

WHAT NEXT
       Update the library with consistent technology and  try  again.  Or  run
       derive_design_level_via_regions  to  generate  up-do-date via region in
       the design library.

SEE ALSO
       create_lib(2)
       open_lib(2)
       read_tech_file(2)
       derive_design_level_via_regions(2)",[fill severity],"Warning: Technology 'saed32nm_1p9m_mw.tf' used for frame-view creation in library 'sram2rw16x4_tt1p_v125c', is inconsistent with the current technology 'saed32nm_1p9m_mw.tf' of library 'bit_coin.nlib'. Please run derive_design_level_via_regions to generate up-do-date via region in the design library. (NDM-102) (MSG-3032)",[fill solution]
