"Code","Severity","Description","User Severity","rpt msg","solution"
"ATTR-11","Info","NAME
       ATTR-11 (information) The returned value for %s '%s' is the design spe-
       cific attribute override defined within the current block '%s'.

DESCRIPTION
       This command returned the design specific attribute value from the cur-
       rent  block,  instead  of the actual value from the library. Within the
       block, the design specific attribute value overrides the library value.
       It was set previously by the set_attribute command,
         because library settings may not be overwritten. This override may
         be removed by the remove_attributes command.","","Information: The returned value for lib_cell 'saed32rvt_tt_v125c:NBUFFX8_RVT.timing' is the design specific attribute override defined within the current block 'bit_coin'. (ATTR-11) (MSG-3032)",""
"CHF-011","Warning","NAME
       CHF-011 (Warning) filler ref cell %s not marked filler type.

DESCRIPTION
       You  received  this warning message because your filler ref cell is not
       marked filler type.

WHAT NEXT
       Please check your filler ref cell type.","","Warning: filler ref cell DCAP_HVT not marked filler type. (CHF-011) (MSG-3032)",""
"CHF-014","Warning","NAME
       CHF-014 (Warning) option -continue_on_error turned on automatically.

DESCRIPTION
       You  receive  this  warning  message  because you did not specify -con-
       tinue_on_error and  -rules  {  no_1x},  and  doesn't  provide  size  1x
       fillers.  Tool therefore turn on -continue_on_error automatically so it
       will skip unfillable 1x gaps and continue to fill the  rest.  This  may
       lead to unfillable gaps.

WHAT NEXT
       Please include fillers of all needed sizes","","Warning: option -continue_on_error turned on automatically. (CHF-014) (MSG-3032)",""
"CHF-073","Warning","NAME
       CHF-073 (Warning) Smallest filler provided is greater than specified in
       option place.rules.min_vt_filler_size

DESCRIPTION
       The smallest fillers specified in  ""create_stdcell_fillers  -lib_cells""
       is     larger    than    what    is    specified    in    app    option
       place.rules.min_vt_filler_size. This may cause unfillable gaps.

WHAT NEXT
       Please  include  missing   size   fillers   in   create_stdcell_fillers
       -lib_cells.","","Warning: Smallest filler provided is greater than specified in option place.rules.min_vt_filler_size (CHF-073) (MSG-3032)",""
"CLE-10","Info","NAME
       CLE-10  (information)  Term  was not able to be set up using %s . Using
       ""xterm"" by default instead.

DESCRIPTION
       This warning message occurs in certain OS when the term cannot  be  set
       up under its default term name.","","Information: Term was not able to be set up using xterm-256color . Using ""xterm"" by default instead. (CLE-10) (MSG-3032)",""
"CMD-013","Error","NAME
       CMD-013 (error) %s Use error_info for more info.

DESCRIPTION
       A  script  or complex command failed and there is a stack trace for the
       failure.  The trace points out the source files  and  loops  where  the
       error occurred.  The error_info command is used to display this stack.

WHAT NEXT
       Fix the error indicated by error_info.","","Error: 0\n	Use error_info for more info. (CMD-013) (MSG-3032)",""
"CMD-030","Warning","NAME
       CMD-030 (warning) File '%s' was not found in search path.

DESCRIPTION
       The 'which' command evaluated an filename argument and the file was not
       found.

WHAT NEXT
       No adverse effect on the result of the  command,  but  check  spelling,
       etc.","","Warning: File 'config_setup.tcl' was not found in search path. (CMD-030) (MSG-3032)",""
"CTS-956","Warning","NAME
       CTS-956  (warning) Please use -largest / -smallest / -all switches with
       -show_verbose_paths / -show_paths to report the clock paths.

DESCRIPTION
       -largest / -smallest /  -all  switches  have  to  add  with  -show_ver-
       bose_paths / -show_paths to report the clock paths.

WHAT NEXT
       Add -largest / -smallest / -all switches to report the clock paths.","","Warning: Please use -largest / -smallest / -all switches with -show_verbose_paths / -show_paths to report the clock paths. (CTS-956) (MSG-3032)",""
"CTS-973","Info","NAME
       CTS-973  (info)  The value of option cts.compile.enable_cell_relocation
       has been overridden to ""leaf_only"" to support latency-driven placement.

DESCRIPTION
       If option place.coarse.latency_driven_placement is true, placement will
       attempt to move clock gating cells to improve clock latency. To prevent
       clock gate relocation from altering the locations of these cells, clock
       gate  relocation  will be done in leaf_only mode. Only leaf-level clock
       gates will be moved by clock gate  relocation.  This  overrides  option
       cts.compile.enable_cell_relocation.

       Latency-driven  placement  happens  at  the place_opt flow stage. Clock
       gate relocation happens at the clock_opt flow stage.

WHAT NEXT
       To use clock gate relocation mode other than ""leaf_only"", it is  neces-
       sary     to    disable    latency-driven    placement.    Set    option
       place.coarse.latency_driven placement to  false  during  place_opt  and
       clock_opt  flow  stages.  Clock latency may degrade as a consequence of
       this.

SEE ALSO
       cts.compile.enable_cell_relocation(3)
       place.coarse.latency_driven_placement(3)","","Information: The value of option cts.compile.enable_cell_relocation has been overridden to ""leaf_only"" to support latency-driven placement. (CTS-973) (MSG-3032)",""
"DEFW-006","Info","NAME
       DEFW-006  (information)  Creating  dummy  net '%s' for unconnected port
       '%s'.

DESCRIPTION
       There are unconnected ports in the design. For each  unconnected  port,
       write_def  generates a dummy net and connects the port to it. The dummy
       net will appear in the PINS and regular NETS sections. The dummy net is
       not actually created and connected in the design; it is merely a place-
       holder in the DEF output file.

WHAT NEXT
       Verify whether the port should be connected  in  the  netlist.  Connect
       them  to  avoid  seeing  this  message and dummy nets in the output DEF
       file.","","Creating dummy net '%s' for unconnected port '%s'. (MSG-3032)",""
"DEFW-032","Info","NAME
       DEFW-032  (information)  Fill  shapes with '%s' purpose will be skipped
       from output DEF.

DESCRIPTION
       Fill Shapes with purpose 'active_fill'  and  'special_router_extension'
       are  written  out  based  on  the  file.def.fill_purpose_map app option
       value. This message informs which shapes are excluded from  DEF  output
       in the current settings.

WHAT NEXT
       Please use appropriate file.def.fill_purpose_map mapping if output file
       is not expected.","","Information: Fill shapes with 'active_fill' purpose will be skipped from output DEF. (DEFW-032) (MSG-3032)",""
"EOPT-011","Error","NAME
       EOPT-011 (Error) : '%d' errors encountered.

DESCRIPTION
       This  message  indicates  that errors are encountered during changelist
       implentation.

WHAT NEXT
       User can examine the changelist output txt file for more details.

SEE ALSO
       eco_opt (2).  check_pt_qor (2).","","Error: '7' errors encountered. (EOPT-011) (MSG-3032)",""
"FILE-007","Info","NAME
       FILE-007 (information) Loading %s file '%s'

DESCRIPTION
       This  informational message shows the full path name and type of a file
       being read into the application.

WHAT NEXT
       Use the full path name to  help  understand  any  problems  encountered
       while reading the file.","","Information: Loading library file '/home/inf27/bitcoin_workdir/bitcoin_no_dft_derive_with_tie_anttcl_drcrs_compileprepgapowerswitch_keepout_ctscells_metalfill_maxtrans_all_5/data/lib/sram/ndms/sram2rw16x4_tt1p_v125c.ndm' (FILE-007) (MSG-3032)",""
"FLW-8000","Info","NAME
       FLW-8000 (info) Starting %s

DESCRIPTION
       Starting  message  of  a  command, compile stage or step.  This message
       appears in pair with FLW-8001.

WHAT NEXT
       Information. No action needed.","","Information: Starting 'analyze_design_violations' (FLW-8000) (MSG-3032)",""
"FLW-8001","Info","NAME
       FLW-8001 (info) Ending %s

DESCRIPTION
       Ending  message  of  a  command,  compile  stage or step.  This message
       appears in pair with FLW-8000.

WHAT NEXT
       Information. No action needed.","","Information: Ending   'analyze_design_violations' (FLW-8001) (MSG-3032)",""
"FLW-8100","Info","NAME
       FLW-8100  (info)  Time: %s / Session: %s / Command: %s / CPU: %s / Mem-
       ory: %.0f MB

DESCRIPTION
       Information of timestamp, elapsed time in  the  tool  session,  elapsed
       time and CPU time in the command and peak memory usage.

WHAT NEXT
       Information. No action needed.","","Information: Time: 2025-12-30 12:53:45 / Session:  02:58:13 / Command:  00:02:36 / CPU:  00:02:35 / Memory: 23201 MB (FLW-8100) (MSG-3032)",""
"FRAM-054","Warning","NAME
       FRAM-054  (warning)  Technology  used  to create frame-view and current
       technology have inconsistency: %s.

DESCRIPTION
       The reported part of the technology are inconsistent between the refer-
       ence library and the design library.

WHAT NEXT
       Update the library with consistent technology and try again.

SEE ALSO
       create_lib(2)
       open_lib(2)
       read_tech_file(2)","","Warning: Technology used to create frame-view and current technology have inconsistency: Fat table contents are different. (FRAM-054) (MSG-3032)",""
"LEFW-005","Warning","NAME
       LEFW-005  (warning)  Block  '%s'  has no %s view with empty label, will
       ignore it.

DESCRIPTION
       The reported block has no frame view  with  empty  label.  It  will  be
       ignored.

WHAT NEXT
       Please  create  frame  view for the specifid block and try again. Or if
       non empty label need to be written out, please use  -design  option  to
       specify the label to be written.","","Warning: Block 'bit_coin' has no frame view with empty label, will ignore it. (LEFW-005) (MSG-3032)",""
"LEFW-007","Warning","NAME
       LEFW-007  (warning)  Use  %s  %s  as the WRONGDIRECTION width for layer
       '%s'.

DESCRIPTION
       Usually, if preferred routing direction  is  horizontal,  xDefaultWidth
       will  be  written out as the WRONGDIRECTION width; if preferred routing
       direction is  vertical,  yDefaultWidth  will  be  written  out  as  the
       WRONGDIRECTION  width.   This  warning  message indicates that the pre-
       ferred routing direction not exist, or is not horizontal  or  vertical,
       or  corresponding  xDefaultWidth/yDefaultWidth not exist. In that case,
       the tool will write out  the  specified  width  as  the  WRONGDIRECTION
       width.

WHAT NEXT
       Please  verify  whether  the reported width is truly the WRONGDIRECTION
       width for the specified layer.","","Warning: Use defaultWidth 2 as the WRONGDIRECTION width for layer 'MRDL'. (LEFW-007) (MSG-3032)",""
"LNK-040","Info","NAME
       LNK-040 (information) User %sunits loaded from library '%s'

DESCRIPTION
       This message appears when you have not explicitly set your design units
       (time, capacitance, etc.) with the set_user_units command.   The  units
       used  in your shell session will be taken from the default units in the
       given library.

WHAT NEXT
       You can use report_user_units to see what  units  have  been  selected.
       You can use the set_user_units to force different units of your choice.

SEE ALSO
       set_user_units(2)
       report_user_units(2)","","Information: User units loaded from library 'saed32hvt_pg_c' (LNK-040) (MSG-3032)",""
"MSG-3106","Info","","","Information: set_msg: changed msg 'ATTR-11' to level INFO (MSG-3106) (MSG-3032)",""
"MSG-3913","Info","NAME
       MSG-3913  (info) %d out of %d %s messages were not printed due to limit
       %d %s

DESCRIPTION
       This message prints the summary of the suppressed messages at  the  end
       of every source or mega command. This message will also be printed when
       we change the limit of a message which was suppressed.

       The file information will be  printed  if  this  message  is  triggered
       before  the  end  of  the  source  file. The message will be printed as
       below:

       3 out of 5 NDMUI-669 messages were not printed due to  limit  2  (after
       'set_message_info'  at  test.tcl:21) (MSG-3913) 2 out of 4 ATR-012 mes-
       sages were not printed due to  limit  2  (after  'set_message_info'  at
       test.tcl:22) (MSG-3913)

       And  if  this  message  is triggered after the completion of the source
       file. It will be printed as below:

       1 out of 3 ATR-012 messages were not printed due to limit 2  (MSG-3913)
       1  out  of  3  NDMUI-669  messages  were  not  printed  due  to limit 2
       (MSG-3913)

WHAT NEXT","","Information: 573737 out of 573747 POW-046 messages were not printed due to limit 10 (after 'source' at timing_eco.tcl:539) (MSG-3913) (MSG-3032)",""
"MSG-3987","Info","","","Information: report_msg: adding -printed to avoid unintentional output overload. Use 'get_msg *' to list all messages.  (MSG-3987) (MSG-3032)",""
"MV-013","Warning","NAME
       MV-013  (warning)  %s  '%s' [supply net '%s', power state '%s'] is less
       always-on than the load pin '%s' [supply net '%s', power state '%s'].

DESCRIPTION
       This message occurs when the supply net of the specified driver pin  or
       PG  net  is  less always-on than the related supply net of the load pin
       and an Isolation Cell is missing. An Isolation Cell is required to iso-
       late  the  signal  path  if  the driver of the net is less always-on or
       unrelated to the load pin.

WHAT NEXT
       o Check the power states of the supply nets with report_pst.

       o  Use report_mv_path to report any Isolation strategy that  may  apply
       on the path.

       o   Check  analyze_mv_feasibility  for Isolation Cell and Enabled Level
       Shifter cell mapping related issues.

       o Check report_mv_lib_cells for availability of  a  suitable  Isolation
       Cells.

       o  Run report_mv_path -net -isolation to check if there is any strategy
       applied but not implemented.  If there is no strategy  applied,  please
       add necessary Isolation strategy.

SEE ALSO
       report_net(2)
       report_pst(2)
       report_mv_path(2)
       analyze_mv_feasibility(2)
       report_mv_lib_cells(2)","","Warning: Driver pin 'piso_secure_0/route_opt__1_PTECO_DRC_BUF6966/Y' [supply net 'piso_sw_out', power state 'SSL_PISO_SECURE_OFF'] is less always-on than the load pin 'piso_secure_0/headerfooter_snps_PD_PISO_SECURE__SW_PISO_SECURE_snps_HEAD2X16_HVT_R588_C87_2802/SLEEP' [supply net 'VDDL', power state 'SSL_ON']. (MV-013) (MSG-3032)",""
"MV-072","Info","NAME
       MV-072  (information) The level shifter '%s' is not associated with any
       level shifter strategies.

DESCRIPTION
       This message is printed when the specified level shifter is not associ-
       ated with any level shifter strategies.

       When  the  tool cannot associate level shifter cells with level shifter
       strategies, it might be caused by one of these reasons:  level  shifter
       cell is not inserted based on any strategy, it might purely be inserted
       to fix the voltage shifting automatically;  or  the  level  shifter  is
       inserted base on certain strategy, but the nestlist got changed without
       introducing any extra violation. In  any  case,  existing  power/ground
       supply  nets  of  the  cell are maintained. No association will pose no
       problem in downstream tools.

WHAT NEXT
       This is an information-only message. No action is required.

SEE ALSO
       associate_mv_cells(2)
       report_power_domains(2)
       report_mv_path(2)
       report_cell(2)","","Information: The level shifter 'bit_secure_6_snps_PD_SIPO_SECURE__ISO_SIPO_OUT_snps_addr_3_ISO_SIPO_OUT' is not associated with any level shifter strategies. (MV-072) (MSG-3032)",""
"MV-074","Warning","NAME
       MV-074  (warning) The power switch cell '%s' is not associated with any
       power switch strategies.

DESCRIPTION
       This message is printed when the specified power  switch  cell  is  not
       associated with any power switch strategies.

       The  tool cannot associate power switch cells with power switch strate-
       gies if there are any discrepancies between them. In such a case,  sup-
       ply  net  connections of the power switch cells cannot be automatically
       derived by the tool. While it is sufficient to continue the implementa-
       tion  flow if supply net connections are explicitly specified, the tool
       will not be able to check and ensure that the power  switch  cells  are
       properly  inserted  and  consistent  with  the  power switch strategies
       intended for the cells.

WHAT NEXT
       Check the related power switch strategy  and  the  association  of  the
       power switch cell.

SEE ALSO
       associate_mv_cells(2)
       report_power_domains(2)
       report_cell(2)","","Warning: The power switch cell 'piso_secure_0/headerfooter_snps_PD_PISO_SECURE__SW_PISO_SECURE_snps_HEAD2X16_HVT_R887_C0_28' is not associated with any power switch strategies. (MV-074) (MSG-3032)",""
"MV-079","Info","NAME
       MV-079  (information)  Message '%s' limit (%d) exceeded. Remainder will
       be suppressed. The  limit  can  be  changed  with  '-max_message_count'
       option.

DESCRIPTION
       This message indicates that the message limit has been exceeded and the
       remainder will be suppressed.

WHAT NEXT
       Run check_mv_design with different  value  for  the  -max_message_count
       option.

SEE ALSO
       check_mv_design(2)","","Information: Message 'MV-013' limit (20) exceeded. Remainder will be suppressed. The limit can be changed with '-max_message_count' option. (MV-079) (MSG-3032)",""
"MV-080","Info","NAME
       MV-080 (information) Total %d %s violations.

NAME
       MV-080 (warning) Total %d %s violations.

DESCRIPTION
       This  message,  printed by check_mv_design, gives the total number of a
       specific type of MV violation.  All violations may not  be  printed  in
       the report.  By default, only 20 of each type of violation are printed.
       This number can be controlled by the check_mv_design -max_message_count
       option.   To  see  details  of  every  violation,  use  check_mv_design
       -max_message_count all.

WHAT NEXT
       No further action is required.   Optionally,  increase  the  number  of
       printed  violations  to  see  more  details  by  using  check_mv_design
       -max_message_count.

SEE ALSO
       check_mv_design(2)","","Information: Total 22 MV-013 violations. (MV-080) (MSG-3032)",""
"MV-082","Info","NAME
       MV-082   (information)   Total  %d  error(s)  and  %d  warning(s)  from
       check_mv_design.

DESCRIPTION
       This summary message shows the total number of error(s) and  warning(s)
       reported  by  check_mv_design.   Details for some of these messages may
       have been suppressed.  Use check_mv_design -max_message_count to  spec-
       ify the count of detailed outputs per message tag.  Use check_mv_design
       -max_message_count all to report all details.

WHAT NEXT
       Check the details of the reported  violations  in  the  check_mv_design
       report.

SEE ALSO
       check_mv_design(2)","","Information: Total 0 error(s) and 2254 warning(s) from check_mv_design. (MV-082) (MSG-3032)",""
"MV-382","Info","NAME
       MV-382 (info) connections of %d power/ground pin(s) are %s.

DESCRIPTION
       This  message occurs when user executes the connect_pg_net command.  It
       shows the number of connections of pin(s) that are created or changed.

SEE ALSO
       connect_pg_net(2)","","Information: connections of 0 power/ground pin(s) are created or changed. (MV-382) (MSG-3032)",""
