Warning: CHF-011 | Warning: filler ref cell DCAP_HVT not marked filler type. (CHF-011) (MSG-3032)
Warning: CHF-014 | Warning: option -continue_on_error turned on automatically. (CHF-014) (MSG-3032)
Warning: CHF-073 | Warning: Smallest filler provided is greater than specified in option place.rules.min_vt_filler_size (CHF-073) (MSG-3032)
Error: CMD-013 | Error: 0\n	Use error_info for more info. (CMD-013) (MSG-3032)
Warning: CMD-030 | Warning: File 'config_setup.tcl' was not found in search path. (CMD-030) (MSG-3032)
Warning: CTS-956 | Warning: Please use -largest / -smallest / -all switches with -show_verbose_paths / -show_paths to report the clock paths. (CTS-956) (MSG-3032)
Error: EOPT-011 | Error: '7' errors encountered. (EOPT-011) (MSG-3032)
Warning: FRAM-054 | Warning: Technology used to create frame-view and current technology have inconsistency: Fat table contents are different. (FRAM-054) (MSG-3032)
Warning: LEFW-005 | Warning: Block 'bit_coin' has no frame view with empty label, will ignore it. (LEFW-005) (MSG-3032)
Warning: LEFW-007 | Warning: Use defaultWidth 2 as the WRONGDIRECTION width for layer 'MRDL'. (LEFW-007) (MSG-3032)
Warning: MV-013 | Warning: Driver pin 'piso_secure_0/route_opt__1_PTECO_DRC_BUF6966/Y' [supply net 'piso_sw_out', power state 'SSL_PISO_SECURE_OFF'] is less always-on than the load pin 'piso_secure_0/headerfooter_snps_PD_PISO_SECURE__SW_PISO_SECURE_snps_HEAD2X16_HVT_R588_C87_2802/SLEEP' [supply net 'VDDL', power state 'SSL_ON']. (MV-013) (MSG-3032)
Warning: MV-074 | Warning: The power switch cell 'piso_secure_0/headerfooter_snps_PD_PISO_SECURE__SW_PISO_SECURE_snps_HEAD2X16_HVT_R887_C0_28' is not associated with any power switch strategies. (MV-074) (MSG-3032)
Warning: NDM-102 | Warning: Technology 'saed32nm_1p9m_mw.tf' used for frame-view creation in library 'sram2rw16x4_tt1p_v125c', is inconsistent with the current technology 'saed32nm_1p9m_mw.tf' of library 'bit_coin.nlib'. Please run derive_design_level_via_regions to generate up-do-date via region in the design library. (NDM-102) (MSG-3032)
Warning: NEX-020 | Net '%s' is exceeding threshold (over %d pins) and will be skipped. (MSG-3032)
Warning: NEX-055 | Warning: starrc_extract_rc:  need to use newer starRC version than version 0.0 to run with ICC2 version W-2024.09-SP3. The recommended StarRC version is 2024.9. (NEX-055) (MSG-3032)
Warning: PDC-003 | Warning: Routing direction of metal layer PO is neither "horizontal" nor "vertical".  PDC checks will not be performed on this layer. (PDC-003) (MSG-3032)
Warning: POW-009 | Warning: Power analysis is disabled for scenario 'FUNC_0.85V_HOLD' as leakage/swcap/internal mode power app options can be off and/or leakage_power/dynamic_power scenario flags are set to false. (POW-009) (MSG-3032)
Warning: POW-046 | Warning: Power table extrapolation (extrapolation mode) for port SLEEPOUT on cell piso_secure_0/headerfooter_snps_PD_PISO_SECURE__SW_PISO_SECURE_snps_HEAD2X16_HVT_R293_C0_10 for parameter Cout. Lowest table value = 0.000100, highest table value = 0.008000, value = 0.030777 (POW-046) (MSG-3032)
Warning: PVT-020 | Warning: Mismatched voltage in corner FUNC_0.85V_HOLD. (PVT-020) (MSG-3032)
Warning: PVT-022 | Warning: Mismatched process number in corner FUNC_0.85V_HOLD. (PVT-022) (MSG-3032)
Warning: PVT-030 | Warning: Corner FUNC_0.85V_HOLD:  12 process number, 0 process label, 17 voltage, and 0 temperature mismatches. (PVT-030) (MSG-3032)
Warning: PVT-031 | Warning: 106293 cells affected for early, 106293 for late. (PVT-031) (MSG-3032)
Warning: PVT-033 | Warning: 1 voltage and 0 temperature extrapolations. (PVT-033) (MSG-3032)
Warning: PVT-034 | Warning: 0 port driving_cells affected for early, 0 for late. (PVT-034) (MSG-3032)
Warning: SEL-004 | Warning: No cell objects matched 'route_opt__1_PTECO_DRC_BUF5384' (SEL-004) (MSG-3032)
Warning: TIM-204 | Advanced receiver model has not been enabled for detailed routed design. (MSG-3032)
Warning: TIM-207 | Warning: Libraries do not have CCS noise model for accurate waveform analysis in advanced waveform propagation mode. (TIM-207) (MSG-3032)
Warning: TIM-260 | Library %s is pre-18.06 version %u.%u,  Correlation with Primetime can be low. (MSG-3032)
Warning: UIC-058 | Warning: Scenario FUNC_0.85V_HOLD is not configured for setup analysis: skipping. (UIC-058) (MSG-3032)
Error: UIED-180 | Error: Failed to add buffers (UIED-180) (MSG-3032)
Error: UIED-304 | Error: Can't find place to insert buffer by given location (5888.0161, 1273.0680). (UIED-304) (MSG-3032)
Error: UIED-309 | Error: Add buffer on route fail to get or process route of net bit_secure_7_slice_20_t_din2piso[14] (UIED-309) (MSG-3032)
Warning: UIED-313 | Warning: Failed to add buffer on net bit_secure_7_slice_20_t_din2piso[14] (UIED-313) (MSG-3032)
Warning: UPF-236 | Warning: Crosstool app option is set to true, UPF may not match Verilog or SPEF. (UPF-236) (MSG-3032)
Warning: ZRT-022 | Warning: Cannot find a default contact code for layer CO. (ZRT-022) (MSG-3032)
Warning: ZRT-027 | Warning: Ignore 2 top cell ports with no pins. (ZRT-027) (MSG-3032)
Warning: ZRT-044 | Standard cell pin %s/%s has no valid via regions. (MSG-3032)
Warning: ZRT-101 | Warning: Power net sipo_sw_out has no power preroutes, skip tie-off. (ZRT-101) (MSG-3032)
Warning: ZRT-142 | Warning: PG net piso_sw_out has a path shape with shape_use detail_route and it is too long. Long part of the shape is located at (123.844, 1668.772) (232.732, 1668.828). The shape's BBox is (123.844, 1668.772) (232.732, 1668.828). (ZRT-142) (MSG-3032)
Warning: ZRT-143 | Secondary PG net %s has no power stripe, skip to route. (MSG-3032)
